stock_code,memo
4251,恵和
8584,ジャックス
7942,ＪＳＰ
2292,Ｓ　ＦＯＯＤＳ
7296,エフ・シー・シー
5480,日本冶金工業
7723,愛知時計電機
6995,東海理化電機製作所
2918,わらべや日洋ＨＬＤＧ
3232,三重交通グループＨＬＤＧ
2733,あらた
6932,遠藤照明
5406,神戸製鋼所
5981,東京製綱
6741,日本信号
7239,タチエス
6357,三精テクノロジーズ
7561,ハークスレイＨＬＤＧ
3355,クリヤマＨＬＤＧ
3611,マツオカコーポレーション
4246,ダイキョーニシカワ
9511,沖縄電力
1911,住友林業
4516,日本新薬
8425,みずほリース
547A,ムニノバＨＬＤＧ
7811,中本パックス
3932,アカツキ
2415,ヒューマンＨＬＤＧ
5975,東プレ
5851,リョービ
2429,ワールドＨＬＤＧ
7242,カヤバ
4465,ニイタカ
6505,東洋電機製造
5970,ジーテクト
4471,三洋化成工業
4028,石原産業
9628,燦ＨＬＤＧ
9507,四国電力
7231,トピー工業
7241,フタバ産業
5852,アーレスティ
1384,ホクリヨウ
8309,三井住友トラストグループ
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ
241A,ＲＯＸＸ
2479,ジェイテック
2666,オートウェーブ
2789,カルラ
3192,白鳩
3266,ファンドクリエーショングループ
3909,ショーケース
3928,マイネット
4380,Ｍマート
442A,クラシコ
4650,ＳＤエンターテイメント
5025,マーキュリー
5125,ファインズ
6029,アトラグループ
6803,ティアック
7062,フレアス
7836,アビックス
7850,総合商研
7901,マツモト
8783,ａｂｃ
9345,ビズメイツ
9685,ＫＹＣＯＭ　ＨＬＤＧ
